level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,E_intercept,"(1.83e+11, 1.954e+11]",87,iteration2_max_monolith_temp,iter2,primary,190349021347.4782,183022835800.4621,195419701452.65207,4.434205560793812,5.473132705750313,1036.6125287356322,1037.2607421875,4.785441295069072,0.8505747126436781
2,E_intercept,"(1.83e+11, 1.954e+11]",87,iteration2_max_global_stress,iter2,primary,190349021347.4782,183022835800.4621,195419701452.65207,5.97825980350889,7.392653171666536,153.27678160919538,154.82957458496094,7.909996682789789,0.9310344827586207
2,E_intercept,"(1.83e+11, 1.954e+11]",87,iteration2_wall2,iter2,primary,190349021347.4782,183022835800.4621,195419701452.65207,0.0009826675243926784,0.0011891785628582415,29.922637417218326,29.922988891601562,0.0031517388532094305,1.0
2,E_intercept,"(1.954e+11, 2.042e+11]",87,iteration2_keff,iter2,primary,199231872068.36655,195432741032.92053,204174806519.00476,0.0002105649471363648,0.00025213458317910353,1.1034503068846073,1.103472352027893,0.0003556254160307192,0.9885057471264368
2,E_intercept,"(1.954e+11, 2.042e+11]",87,iteration2_max_fuel_temp,iter2,primary,199231872068.36655,195432741032.92053,204174806519.00476,3.2262674546515813,4.164013016020047,1073.76091954023,1073.9244384765625,4.198687788941469,0.8620689655172413
2,E_intercept,"(1.954e+11, 2.042e+11]",87,iteration2_max_monolith_temp,iter2,primary,199231872068.36655,195432741032.92053,204174806519.00476,3.626034482758622,4.715830776642381,1036.1445977011495,1036.3936767578125,4.723594598111549,0.8620689655172413
2,E_intercept,"(1.954e+11, 2.042e+11]",87,iteration2_max_global_stress,iter2,primary,199231872068.36655,195432741032.92053,204174806519.00476,5.675404396495601,7.46485996423009,161.7529885057471,162.4887237548828,8.119534609332653,0.9080459770114943
2,E_intercept,"(1.954e+11, 2.042e+11]",87,iteration2_wall2,iter2,primary,199231872068.36655,195432741032.92053,204174806519.00476,0.0009653557582821489,0.0012334397925097861,29.920928217219384,29.921445846557617,0.0031307041903025205,0.9885057471264368
2,E_intercept,"(2.042e+11, 2.162e+11]",87,iteration2_keff,iter2,primary,209270886031.19446,204184946069.01053,216134248402.72076,0.0001985398646615443,0.000254167887680546,1.1036403257532397,1.1036709547042847,0.000339666514150075,0.9540229885057471
2,E_intercept,"(2.042e+11, 2.162e+11]",87,iteration2_max_fuel_temp,iter2,primary,209270886031.19446,204184946069.01053,216134248402.72076,3.9849738460847606,4.845569385895075,1074.5655172413792,1073.9803466796875,4.332354223699518,0.8850574712643678
2,E_intercept,"(2.042e+11, 2.162e+11]",87,iteration2_max_monolith_temp,iter2,primary,209270886031.19446,204184946069.01053,216134248402.72076,4.426642084231319,5.42454321743116,1037.0077011494252,1036.38232421875,4.925759317441155,0.896551724137931
2,E_intercept,"(2.042e+11, 2.162e+11]",87,iteration2_max_global_stress,iter2,primary,209270886031.19446,204184946069.01053,216134248402.72076,6.874131518835309,8.512797972526068,172.08528735632183,171.11476135253906,8.550993466400836,0.9195402298850575
2,E_intercept,"(2.042e+11, 2.162e+11]",87,iteration2_wall2,iter2,primary,209270886031.19446,204184946069.01053,216134248402.72076,0.0008958156349206158,0.0010886772658864718,29.914561558546296,29.914836883544922,0.0031526085703799545,1.0
2,E_intercept,"(2.162e+11, +inf)",87,iteration2_keff,iter2,primary,226284779708.4942,216591395087.59036,250523409449.52637,0.00018982170348094335,0.00025072861936187014,1.103509907059139,1.1035453081130981,0.0003432650051463663,0.9540229885057471
2,E_intercept,"(2.162e+11, +inf)",87,iteration2_max_fuel_temp,iter2,primary,226284779708.4942,216591395087.59036,250523409449.52637,3.4332065485811794,4.5896641198295525,1074.6413793103447,1074.10986328125,4.323213119813048,0.896551724137931
2,E_intercept,"(2.162e+11, +inf)",87,iteration2_max_monolith_temp,iter2,primary,226284779708.4942,216591395087.59036,250523409449.52637,3.9751190957255673,5.3389866272835675,1037.114827586207,1036.35791015625,4.8842976099195266,0.8735632183908046
2,E_intercept,"(2.162e+11, +inf)",87,iteration2_max_global_stress,iter2,primary,226284779708.4942,216591395087.59036,250523409449.52637,7.009887793529995,9.244816672823227,195.67954022988505,194.36770629882812,8.857240406059436,0.8850574712643678
2,E_intercept,"(2.162e+11, +inf)",87,iteration2_wall2,iter2,primary,226284779708.4942,216591395087.59036,250523409449.52637,0.0011131625557901505,0.0013077688216411084,29.919250165251338,29.919767379760742,0.002894501513535912,1.0
2,nu,"(-inf, 0.281]",89,iteration2_keff,iter2,primary,0.2638275236759677,0.1973291408519364,0.2809579659449052,0.0001912296109157013,0.00023666338609952485,1.1035540573450338,1.1036046743392944,0.00033340711468533255,0.9775280898876404
2,nu,"(-inf, 0.281]",89,iteration2_max_fuel_temp,iter2,primary,0.2638275236759677,0.1973291408519364,0.2809579659449052,3.8357313794768215,4.994409859672149,1074.8096629213483,1074.113525390625,4.132462227981082,0.8089887640449438
2,nu,"(-inf, 0.281]",89,iteration2_max_monolith_temp,iter2,primary,0.2638275236759677,0.1973291408519364,0.2809579659449052,4.360732970505613,5.689884126527009,1037.3187640449437,1036.536865234375,4.7879324233329505,0.8089887640449438
2,nu,"(-inf, 0.281]",89,iteration2_max_global_stress,iter2,primary,0.2638275236759677,0.1973291408519364,0.2809579659449052,6.4332495151476925,8.631339900917629,160.93921348314606,159.45889282226562,8.336276969299494,0.898876404494382
